	Time	VacSampleX	VacSampleY	Energy	Pilatus_Tiff	Pilatus_Trigger	Pilatus_filename	PilatusAcqTime	Keysight1	Keysight2	Keysight3	Keysight4	Keysight1:StandardDeviation	Keysight2:StandardDeviation	Keysight3:StandardDeviation	Keysight4:StandardDeviation	PilatusPos	SampleName	SampleThickness	Empty_Index	Background_Index	Reference_Index	MaskFile	x_Center	y_Center	SampleToDet_Distance	
13	5777.47	22.9999999999999	1.000003	7000.002692	391	392	/messung/kmc/daten/2020/20_kw29tg14/pilatus_2020kw29tg14_00391.tif	300	1.46894463666667E-6	5.609317E-10	5.84041503333334E-13	2.92597096666667E-7	1.76383128273912E-9	2.71976196352317E-11	1.85504686525009E-14	3.40354665483804E-10	3012.875	217	0.1	0	16	1	mask_short2.edf	456.736	556.579	0.80169	16
14	6082.775	22.9999999999999	-9.149996	7000.002692	392	393	/messung/kmc/daten/2020/20_kw29tg14/pilatus_2020kw29tg14_00392.tif	300	1.44833117275748E-6	5.37362458471761E-10	5.66938166112956E-13	2.92547378737542E-7	1.83472233232237E-9	3.31199642703475E-11	2.73061085405012E-14	3.75947641850688E-10	3012.875	195	0.1	0	16	1	mask_short2.edf	456.736	556.579	0.80169	16
15	6391.718	12.9999999999999	7.800003	7000.002692	393	394	/messung/kmc/daten/2020/20_kw29tg14/pilatus_2020kw29tg14_00393.tif	600	1.44080490349417E-6	5.75617504159734E-10	5.66681053244592E-13	2.92326589018303E-7	2.02955515585817E-9	2.6904118713691E-11	2.10599991605847E-14	4.06462654060447E-10	3012.875	232	0.1	0	16	1	mask_short2.edf	456.736	556.579	0.80169	16
16	6996.027	12.9999999999999	1.73000000000042E-4	7000.002692	394	395	/messung/kmc/daten/2020/20_kw29tg14/pilatus_2020kw29tg14_00394.tif	600	1.47082910648919E-6	5.63102113144759E-10	5.97821505823627E-13	2.92157316139767E-7	5.0103990179068E-9	3.38525597854458E-11	2.3830992795805E-14	9.79596532535603E-10	3012.875	empty Kapton Hexane	0.1	0	0	1	mask_short2.edf	456.736	556.579	0.80169	0
17	7601.32	12.9999999999999	-9.149996	7000.002692	395	396	/messung/kmc/daten/2020/20_kw29tg14/pilatus_2020kw29tg14_00395.tif	600	1.44666452246256E-6	5.57463693843595E-10	5.70589615640598E-13	2.9242574875208E-7	4.93371872964434E-9	3.03713718820772E-11	2.27398290941325E-14	9.54937225739254E-10	3012.875	Empty Kapton	0.1	0	0	1	mask_short2.edf	456.736	556.579	0.80169	0
18	36.196	133	-1.9999999999582E-6	8003.995109	396	397	/messung/kmc/daten/2020/20_kw29tg14/pilatus_2020kw29tg14_00396.tif	600	1.69596772212978E-6	5.68020366056572E-10	5.60830344425956E-13	1.51771174043261E-7	2.01575005585008E-9	2.71498366330097E-11	2.39013024795618E-14	1.81301044835542E-10	3012.875	Empty	1	18	18	19	mask_short2.edf	456.736	556.579	0.80169	0
19	641.291	123	4.16333634234434E-17	8003.995109	397	398	/messung/kmc/daten/2020/20_kw29tg14/pilatus_2020kw29tg14_00397.tif	300	1.62284050830565E-6	5.76919468438538E-10	5.26650588039867E-13	1.51779033222591E-7	1.858822621293E-9	2.26733931084396E-11	2.30692031370048E-14	1.77568929787614E-10	3012.875	GC	0.0054	18	18	19	mask_short2.edf	456.736	556.579	0.80169	0
20	946.289	113	2.00000000004147E-6	8003.995109	398	399	/messung/kmc/daten/2020/20_kw29tg14/pilatus_2020kw29tg14_00398.tif	10	1.15681636363636E-6	5.83316363636363E-10	5.34894272727273E-13	1.51570009090909E-7	1.86885137304885E-10	1.598898137639E-11	6.88728106136101E-15	2.93626788473255E-11	3012.875	AgBeh	0.02	18	18	19	mask_short2.edf	456.736	556.579	0.80169	0
21	964.988	88.1599999999999	-9.99999999958499E-7	8003.995109	399	400	/messung/kmc/daten/2020/20_kw29tg14/pilatus_2020kw29tg14_00399.tif	600	1.2502117936772E-6	5.90927254575707E-10	5.44188777038269E-13	1.51816058236273E-7	1.60508275405352E-9	2.91240089493775E-11	2.60495970860115E-14	1.91334297246692E-10	3012.875	Empty Cap	0.1069038	18	18	19	mask_short2.edf	456.736	556.579	0.80169	0
22	1569.113	83.0999999999999	4.16333634234434E-17	8003.995109	400	401	/messung/kmc/daten/2020/20_kw29tg14/pilatus_2020kw29tg14_00400.tif	600	9.73031742096506E-7	5.96709151414309E-10	5.49326064891847E-13	1.51832894675541E-7	1.29140597349367E-9	2.62917384193597E-11	2.06189675180592E-14	1.91299194121925E-10	3012.875	Hexane Cap	0.09617711	18	18	19	mask_short2.edf	456.736	556.579	0.80169	0
23	2172.91	78.5599999999999	4.16333634234434E-17	8003.995109	401	402	/messung/kmc/daten/2020/20_kw29tg14/pilatus_2020kw29tg14_00401.tif	300	1.00623531E-6	5.742901E-10	5.59519833333333E-13	1.51951072333333E-7	1.20716467631931E-9	2.54045662880562E-11	1.93368338650696E-14	1.79369486191116E-10	3012.875	223	0.1061594	18	21	19	mask_short2.edf	456.736	556.579	0.80169	3
24	2476.64	73.0299999999999	4.16333634234434E-17	8003.995109	402	403	/messung/kmc/daten/2020/20_kw29tg14/pilatus_2020kw29tg14_00402.tif	300	1.01366175747508E-6	5.67190863787375E-10	5.62952179401993E-13	1.51901497342193E-7	3.6483432346275E-9	2.81708210728415E-11	2.47898489534401E-14	5.39892829667383E-10	3012.875	214neu	0.1043762	18	21	19	mask_short2.edf	456.736	556.579	0.80169	3
25	2780.386	68.5899999999999	2.00000000004147E-6	8003.995109	403	404	/messung/kmc/daten/2020/20_kw29tg14/pilatus_2020kw29tg14_00403.tif	420	1.02680572380952E-6	5.75104880952381E-10	5.68941014285714E-13	1.51955036428572E-7	3.40193457174857E-9	2.92014682704563E-11	2.38585133613483E-14	5.01341764566743E-10	3012.875	211	0.1038688	18	21	19	mask_short2.edf	456.736	556.579	0.80169	3
26	3204.15	63.3299999999999	1.00000000004177E-6	8003.995109	404	405	/messung/kmc/daten/2020/20_kw29tg14/pilatus_2020kw29tg14_00404.tif	600	1.01184784858569E-6	5.5705622296173E-10	5.59435341098169E-13	1.52032631780366E-7	1.28352886684934E-9	3.34766227917861E-11	2.42054634527369E-14	1.91562646684989E-10	3012.875	187	0.1011847	18	21	19	mask_short2.edf	456.736	556.579	0.80169	3
27	3808.101	57.9399999999999	4.00000000004173E-6	8003.995109	405	406	/messung/kmc/daten/2020/20_kw29tg14/pilatus_2020kw29tg14_00405.tif	600	9.92206920133112E-7	5.21348951747089E-10	5.42551657237937E-13	1.52019454076539E-7	1.2281445030107E-9	2.66755211207953E-11	1.87836296438054E-14	1.90098676974688E-10	3012.875	193	0.0943534	18	21	19	mask_short2.edf	456.736	556.579	0.80169	3
28	4411.83	53.2699999999999	1.00000000004177E-6	8003.995109	406	407	/messung/kmc/daten/2020/20_kw29tg14/pilatus_2020kw29tg14_00406.tif	600	1.00528381166667E-6	5.48903583333334E-10	5.40517336666667E-13	1.52004702333333E-7	1.22698338616032E-9	2.83852384923367E-11	3.63749196790786E-14	1.81534816708417E-10	3012.875	207	0.09635023	18	21	19	mask_short2.edf	456.736	556.579	0.80169	3
29	5016.659	43.5099999999999	4.16333634234434E-17	8003.995109	407	408	/messung/kmc/daten/2020/20_kw29tg14/pilatus_2020kw29tg14_00407.tif	600	1.02335160066556E-6	5.265631281198E-10	5.47957525790349E-13	1.51917498835275E-7	3.06618238100744E-9	2.91407760225865E-11	2.54475322650957E-14	4.85049972252365E-10	3012.875	193neu	0.09644833	18	21	19	mask_short2.edf	456.736	556.579	0.80169	3
30	5624.393	22.9999999999999	9.499989	8003.995109	408	409	/messung/kmc/daten/2020/20_kw29tg14/pilatus_2020kw29tg14_00408.tif	150	1.19062068E-6	5.45563666666667E-10	5.40138866666667E-13	1.51788674E-7	2.73601953395828E-9	2.16811497446644E-11	2.16294091085446E-14	3.44741143318648E-10	3012.875	203	0.1	18	34	19	mask_short2.edf	456.736	556.579	0.80169	16
31	5778.943	22.9999999999999	1.000001	8003.995109	409	410	/messung/kmc/daten/2020/20_kw29tg14/pilatus_2020kw29tg14_00409.tif	300	1.25448751333333E-6	5.29584366666667E-10	5.33634976666667E-13	1.51799883666667E-7	1.53135442154001E-9	2.2606838132892E-11	2.67543288303034E-14	1.85313643466241E-10	3012.875	217	0.1	18	34	19	mask_short2.edf	456.736	556.579	0.80169	16
32	6084.228	22.9999999999999	-9.149899	8003.995109	410	411	/messung/kmc/daten/2020/20_kw29tg14/pilatus_2020kw29tg14_00410.tif	300	1.24294912292359E-6	5.34947142857143E-10	5.11564790697674E-13	1.51727309302326E-7	1.51273592589944E-9	2.5264413123526E-11	2.47393304439048E-14	1.86705948253345E-10	3012.875	195	0.1	18	34	19	mask_short2.edf	456.736	556.579	0.80169	16
33	6393.17	12.9999999999999	7.799991	8003.995109	411	412	/messung/kmc/daten/2020/20_kw29tg14/pilatus_2020kw29tg14_00411.tif	600	1.23924831946755E-6	5.73435806988353E-10	5.22995173044925E-13	1.5186827437604E-7	1.61292616934884E-9	3.06029273499992E-11	2.15994038752618E-14	2.00338985993701E-10	3012.875	232	0.1	18	34	19	mask_short2.edf	456.736	556.579	0.80169	16
34	6997.491	12.9999999999999	2.16000000000042E-4	8003.995109	412	413	/messung/kmc/daten/2020/20_kw29tg14/pilatus_2020kw29tg14_00412.tif	600	1.25716017637271E-6	5.87759983361065E-10	5.313117437604E-13	1.51866239767055E-7	4.3612314016618E-9	2.6584382749396E-11	2.30691268251366E-14	5.23334890612706E-10	3012.875	empty Kapton Hexane	0.1	18	18	19	mask_short2.edf	456.736	556.579	0.80169	0
35	7602.808	12.9999999999999	-9.150003	8003.995109	413	414	/messung/kmc/daten/2020/20_kw29tg14/pilatus_2020kw29tg14_00413.tif	600	1.24091181697172E-6	5.66656039933444E-10	5.48560342762064E-13	1.51790344592346E-7	4.90638860124716E-9	2.94557847112991E-11	2.7854949283966E-14	6.10353446817126E-10	3012.875	Empty Kapton	0.1	18	18	19	mask_short2.edf	456.736	556.579	0.80169	0
36	37.239	133	5.00000000004143E-6	8238.985877	414	415	/messung/kmc/daten/2020/20_kw29tg14/pilatus_2020kw29tg14_00414.tif	600	1.55166095507488E-6	5.79560449251248E-10	5.40021214642263E-13	1.29205636439268E-7	1.84279760137815E-9	3.01087594557549E-11	2.30568761087053E-14	1.54995756242806E-10	3012.876	Empty	1	36	36	37	mask_short2.edf	456.736	556.579	0.80169	0
37	642.357	123	-3.99999999995846E-6	8238.985877	415	416	/messung/kmc/daten/2020/20_kw29tg14/pilatus_2020kw29tg14_00415.tif	300	1.48949515946844E-6	5.74557441860465E-10	5.03722777408639E-13	1.29157900996678E-7	1.83968698818164E-9	2.69523948305299E-11	2.19774363383665E-14	1.59825568560443E-10	3012.876	GC	0.0054	36	36	37	mask_short2.edf	456.736	556.579	0.80169	0
38	947.359	113	4.16333634234434E-17	8238.985877	416	417	/messung/kmc/daten/2020/20_kw29tg14/pilatus_2020kw29tg14_00416.tif	10	1.08956654545455E-6	5.72521818181818E-10	5.18897454545455E-13	1.28991336363636E-7	3.72255923696747E-10	1.19219980021654E-11	1.79845254280653E-14	3.16363484848356E-11	3012.876	AgBeh	0.02	36	36	37	mask_short2.edf	456.736	556.579	0.80169	0
39	966.075	88.1599999999999	4.16333634234434E-17	8238.985877	417	418	/messung/kmc/daten/2020/20_kw29tg14/pilatus_2020kw29tg14_00417.tif	600	1.17269059234609E-6	5.70348702163061E-10	5.24001587354409E-13	1.29105423294509E-7	1.65839333750296E-9	3.88250962133963E-11	1.99496849988358E-14	1.79923404230228E-10	3012.876	Empty Cap	0.1069038	36	36	37	mask_short2.edf	456.736	556.579	0.80169	0
40	1570.114	83.0999999999999	1.00000000004177E-6	8238.985877	418	419	/messung/kmc/daten/2020/20_kw29tg14/pilatus_2020kw29tg14_00418.tif	600	9.3079747420965E-7	5.40996356073211E-10	5.40925740432612E-13	1.28839563227953E-7	1.07222550166317E-9	2.61537209500484E-11	2.22007217205321E-14	1.51719130728105E-10	3012.876	Hexane Cap	0.09617711	36	36	37	mask_short2.edf	456.736	556.579	0.80169	0
41	2173.98	78.5599999999999	-9.99999999958499E-7	8238.985877	419	420	/messung/kmc/daten/2020/20_kw29tg14/pilatus_2020kw29tg14_00419.tif	300	9.58581843333333E-7	5.44697266666667E-10	5.3146465E-13	1.29081703E-7	1.85216954737677E-9	2.34139872553324E-11	2.83445857360684E-14	2.37506139384208E-10	3012.876	223	0.1061594	36	39	37	mask_short2.edf	456.736	556.579	0.80169	3
42	2477.709	73.0299999999999	4.16333634234434E-17	8238.985877	420	421	/messung/kmc/daten/2020/20_kw29tg14/pilatus_2020kw29tg14_00420.tif	300	9.64576920265781E-7	5.37350697674419E-10	5.28201205980067E-13	1.29162320265781E-7	3.18683030407247E-9	3.1682057317115E-11	2.16057707009979E-14	4.27151025853771E-10	3012.876	214neu	0.1043762	36	39	37	mask_short2.edf	456.736	556.579	0.80169	3
43	2781.407	68.5899999999999	4.16333634234434E-17	8238.985877	421	422	/messung/kmc/daten/2020/20_kw29tg14/pilatus_2020kw29tg14_00421.tif	420	9.76585438095238E-7	5.46345071428572E-10	5.27851916666666E-13	1.29120077380953E-7	3.63511085779048E-9	2.58708023930969E-11	2.42355517630678E-14	4.81418945202415E-10	3012.876	211	0.1038688	36	39	37	mask_short2.edf	456.736	556.579	0.80169	3
44	3205.15	63.3299999999999	4.16333634234434E-17	8238.985877	422	423	/messung/kmc/daten/2020/20_kw29tg14/pilatus_2020kw29tg14_00422.tif	600	9.63961271214641E-7	5.56870415973378E-10	5.17633906821964E-13	1.29122675041597E-7	1.08053639981221E-9	2.90572159883452E-11	2.2991450381565E-14	1.42344320725163E-10	3012.876	187	0.1011847	36	39	37	mask_short2.edf	456.736	556.579	0.80169	3
45	3809.171	57.9399999999999	1.00000000004177E-6	8238.985877	423	424	/messung/kmc/daten/2020/20_kw29tg14/pilatus_2020kw29tg14_00423.tif	600	9.46984946755408E-7	5.42490632279535E-10	5.2434293843594E-13	1.29109125291182E-7	1.20098711642834E-9	2.71103670871413E-11	2.32994170088267E-14	1.64261654663039E-10	3012.876	193	0.0943534	36	39	37	mask_short2.edf	456.736	556.579	0.80169	3
46	4412.9	53.2699999999999	4.16333634234434E-17	8238.985877	424	425	/messung/kmc/daten/2020/20_kw29tg14/pilatus_2020kw29tg14_00424.tif	600	9.56566273333331E-7	5.22665683333333E-10	5.13425863333333E-13	1.29001089333334E-7	1.33750175084389E-9	3.22102526507649E-11	2.04621728777628E-14	1.81118523216121E-10	3012.876	207	0.09635023	36	39	37	mask_short2.edf	456.736	556.579	0.80169	3
47	5017.729	43.5099999999999	4.16333634234434E-17	8238.985877	425	426	/messung/kmc/daten/2020/20_kw29tg14/pilatus_2020kw29tg14_00425.tif	600	9.72143327787022E-7	5.21559600665558E-10	5.24990833610649E-13	1.29037314475874E-7	3.22265427880653E-9	3.18422440243606E-11	1.98204935418436E-14	4.26217384918497E-10	3012.876	193neu	0.09644833	36	39	37	mask_short2.edf	456.736	556.579	0.80169	3
48	5625.445	22.9999999999999	9.500001	8238.985877	426	427	/messung/kmc/daten/2020/20_kw29tg14/pilatus_2020kw29tg14_00426.tif	150	1.11985811333333E-6	5.54424866666667E-10	4.90958406666667E-13	1.29122294666667E-7	2.63803873034007E-9	2.67557152832376E-11	2.26167838325317E-14	3.07429717353903E-10	3012.876	203	0.1	36	52	37	mask_short2.edf	456.736	556.579	0.80169	16
49	5780.009	22.9999999999999	1.000001	8238.985877	427	428	/messung/kmc/daten/2020/20_kw29tg14/pilatus_2020kw29tg14_00427.tif	300	1.17293229666667E-6	5.08677633333334E-10	5.03898883333333E-13	1.29045900333333E-7	1.45296698477667E-9	2.8447868463783E-11	2.52306520933019E-14	1.60586275272501E-10	3012.876	217	0.1	36	52	37	mask_short2.edf	456.736	556.579	0.80169	16
50	6085.292	22.9999999999999	-9.149684	8238.985877	428	429	/messung/kmc/daten/2020/20_kw29tg14/pilatus_2020kw29tg14_00428.tif	300	1.16430759468439E-6	5.35017375415282E-10	5.3320915282392E-13	1.29110336877076E-7	1.36843020349518E-9	3.30294442695494E-11	2.65181455814048E-14	1.51391250084718E-10	3012.876	195	0.1	36	52	37	mask_short2.edf	456.736	556.579	0.80169	16
51	6394.253	12.9999999999999	7.800002	8238.985877	429	430	/messung/kmc/daten/2020/20_kw29tg14/pilatus_2020kw29tg14_00429.tif	600	1.15919945757072E-6	5.16713361064892E-10	5.35927306156406E-13	1.29053339767055E-7	1.46425042665075E-9	2.63799589148861E-11	2.81208481179494E-14	1.62325365236885E-10	3012.876	232	0.1	36	52	37	mask_short2.edf	456.736	556.579	0.80169	16
52	6998.62	12.9999999999999	4.59000000000041E-4	8238.985877	430	431	/messung/kmc/daten/2020/20_kw29tg14/pilatus_2020kw29tg14_00430.tif	600	1.17428208818636E-6	5.27794409317804E-10	5.20898650582363E-13	1.28988430948419E-7	4.27427303337963E-9	3.00633796507564E-11	2.03521697267811E-14	4.65956685691493E-10	3012.876	empty Kapton Hexane	0.1	36	36	37	mask_short2.edf	456.736	556.579	0.80169	0
53	7603.806	12.9999999999999	-9.149998	8238.985877	431	432	/messung/kmc/daten/2020/20_kw29tg14/pilatus_2020kw29tg14_00431.tif	600	1.15987442762063E-6	5.37151148086524E-10	5.20055163061564E-13	1.28923526289517E-7	3.90506282986192E-9	3.09584626531482E-11	2.32869279141045E-14	4.33535610733855E-10	3012.876	Empty Kapton	0.1	36	36	37	mask_short2.edf	456.736	556.579	0.80169	0
54	34.676	133	-1.9999999999582E-6	8303.985331	432	433	/messung/kmc/daten/2020/20_kw29tg14/pilatus_2020kw29tg14_00432.tif	600	1.50805661730449E-6	5.31241680532447E-10	5.36944221297837E-13	1.23397374875208E-7	4.99412791419114E-9	3.32659431852522E-11	2.13652494118201E-14	4.08801143081039E-10	3012.876	Empty	1	54	54	55	mask_short2.edf	456.736	556.579	0.80169	0
55	639.861	123	-9.99999999958499E-7	8303.985331	433	434	/messung/kmc/daten/2020/20_kw29tg14/pilatus_2020kw29tg14_00433.tif	300	1.44938586378738E-6	5.37164717607974E-10	5.17692774086378E-13	1.23369956478405E-7	4.75149039474808E-9	2.19773798181218E-11	1.91460113164281E-14	4.02489990682449E-10	3012.876	GC	0.0054	54	54	55	mask_short2.edf	456.736	556.579	0.80169	0
56	944.863	113	4.16333634234434E-17	8303.985331	434	435	/messung/kmc/daten/2020/20_kw29tg14/pilatus_2020kw29tg14_00434.tif	10	1.06918390909091E-6	5.57833636363636E-10	5.54432454545454E-13	1.23420672727273E-7	1.60539374949265E-10	1.80581467890408E-11	9.90948032304053E-15	2.74118985445764E-11	3012.876	AgBeh	0.02	54	54	55	mask_short2.edf	456.736	556.579	0.80169	0
57	963.561	88.1599999999999	1.00000000004177E-6	8303.985331	435	436	/messung/kmc/daten/2020/20_kw29tg14/pilatus_2020kw29tg14_00435.tif	600	1.14786519800333E-6	5.47733078202995E-10	5.64187735440932E-13	1.23379163727121E-7	4.33190414972385E-9	3.52532989757773E-11	1.92012887664229E-14	4.62227657526135E-10	3012.876	Empty Cap	0.1069038	54	54	55	mask_short2.edf	456.736	556.579	0.80169	0
58	1567.617	83.0999999999999	-9.99999999958499E-7	8303.985331	436	437	/messung/kmc/daten/2020/20_kw29tg14/pilatus_2020kw29tg14_00436.tif	600	9.1826756905158E-7	5.36351364392678E-10	5.49259936772047E-13	1.23421662063228E-7	3.05802359359342E-9	2.67017348650233E-11	2.26280352540677E-14	4.09139501301288E-10	3012.876	Hexane Cap	0.09617711	54	54	55	mask_short2.edf	456.736	556.579	0.80169	0
59	2171.553	78.5599999999999	1.00000000004177E-6	8303.985331	437	438	/messung/kmc/daten/2020/20_kw29tg14/pilatus_2020kw29tg14_00437.tif	300	9.4271003E-7	5.15071733333334E-10	5.5533605E-13	1.23410809333333E-7	3.11100987417657E-9	2.44562058452117E-11	2.02958110243952E-14	4.0684446517357E-10	3012.876	223	0.1061594	54	57	55	mask_short2.edf	456.736	556.579	0.80169	3
60	2475.281	73.0299999999999	-9.99999999958499E-7	8303.985331	438	439	/messung/kmc/daten/2020/20_kw29tg14/pilatus_2020kw29tg14_00438.tif	300	9.4760377076412E-7	5.42473554817276E-10	5.53498029900332E-13	1.23433858139535E-7	1.17568326968182E-9	2.98877727672675E-11	2.44884279500019E-14	1.55948990940018E-10	3012.876	214neu	0.1043762	54	57	55	mask_short2.edf	456.736	556.579	0.80169	3
61	2778.908	68.5899999999999	-9.99999999958499E-7	8303.985331	439	440	/messung/kmc/daten/2020/20_kw29tg14/pilatus_2020kw29tg14_00439.tif	420	9.59380785714285E-7	5.51973261904763E-10	5.41378397619048E-13	1.23404110238095E-7	1.08410967475969E-9	3.029757435848E-11	2.27148311678674E-14	1.40099506795239E-10	3012.876	211	0.1038688	54	57	55	mask_short2.edf	456.736	556.579	0.80169	3
62	3202.654	63.3299999999999	3.0000000000416E-6	8303.985331	440	441	/messung/kmc/daten/2020/20_kw29tg14/pilatus_2020kw29tg14_00440.tif	600	9.47673317803661E-7	5.65617720465891E-10	5.46922670549086E-13	1.23435312479201E-7	3.01684052730104E-9	3.36471606671608E-11	2.42315983359456E-14	3.8634849414401E-10	3012.876	187	0.1011847	54	57	55	mask_short2.edf	456.736	556.579	0.80169	3
63	3806.675	57.9399999999999	4.16333634234434E-17	8303.985331	441	442	/messung/kmc/daten/2020/20_kw29tg14/pilatus_2020kw29tg14_00441.tif	600	9.3088222296173E-7	5.65626589018303E-10	5.25976319467554E-13	1.23321154242928E-7	3.57991266749232E-9	3.42613053873578E-11	2.86469714904463E-14	4.60407344083621E-10	3012.876	193	0.0943534	54	57	55	mask_short2.edf	456.736	556.579	0.80169	3
